CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,url
eb155351-4749-4856-89cd-95615a9b0632,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,51,{'url': 'https://www.urmc.rochester.edu/contact.aspx?utm_source=hyro_web'},670e67f614519701d63a089f,2024-10-15 16:02:46.927,URL_TAG_CLICK,https://www.urmc.rochester.edu/contact.aspx?utm_source=hyro_web
c1707c68-023f-47c4-af17-61af5acd6df5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,20,{'url': 'https://mychart.urmc.rochester.edu/MyChart/Authentication/Login?utm_source=hyro_web'},6701619255f202ce262e06d7,2024-10-05 18:56:02.498,URL_TAG_CLICK,https://mychart.urmc.rochester.edu/MyChart/Authentication/Login?utm_source=hyro_web
ee351325-86a5-4d28-b48d-6b1d47e2939f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91,{'url': 'https://www.urmc.rochester.edu/contact.aspx?utm_source=hyro_web'},6701c4d8ce37c37834bc4399,2024-10-06 01:59:36.054,URL_TAG_CLICK,https://www.urmc.rochester.edu/contact.aspx?utm_source=hyro_web
2c5e64f4-fa2b-4dc1-927d-52254fbdb6fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,55,{'url': 'https://www.urmc.rochester.edu/get-care.aspx?utm_source=hyro_web'},6700e80d55f202ce262a89dc,2024-10-05 10:17:33.820,URL_TAG_CLICK,https://www.urmc.rochester.edu/get-care.aspx?utm_source=hyro_web
adf68bda-0fe8-4ffe-b62f-0c6978251f7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,{'url': 'https://www.urmc.rochester.edu/strong-memorial/parking-directions.aspx?utm_source=hyro_web'},6701375bce37c37834b546a8,2024-10-05 15:55:55.591,URL_TAG_CLICK,https://www.urmc.rochester.edu/strong-memorial/parking-directions.aspx?utm_source=hyro_web
e326b4d6-8812-4b93-89f0-28b08aad4bc4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19,{'url': 'https://www.urmc.rochester.edu/urm-labs.aspx?utm_source=hyro_web'},6700db9cce37c37834b35efb,2024-10-05 09:24:28.532,URL_TAG_CLICK,https://www.urmc.rochester.edu/urm-labs.aspx?utm_source=hyro_web
33de2658-a253-456b-98d6-371f415a5bf7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,{'url': 'https://www.urmc.rochester.edu/strong-memorial/patients-families/hospital-stay/concerns.aspx?utm_source=hyro_web'},670a3bfc8529bdd288932e70,2024-10-12 12:06:04.450,URL_TAG_CLICK,https://www.urmc.rochester.edu/strong-memorial/patients-families/hospital-stay/concerns.aspx?utm_source=hyro_web
0818627e-5842-47c8-9453-7b56c7092bff,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'url': 'https://mychart.urmc.rochester.edu/MyChart/inside.asp?mode=questionnaire&from=list&src=sys&srcid=1&quesid=41040001&utm_source=hyro_web'},670a4fd214519701d613419d,2024-10-12 13:30:42.771,URL_TAG_CLICK,https://mychart.urmc.rochester.edu/MyChart/inside.asp?mode=questionnaire&from=list&src=sys&srcid=1&quesid=41040001&utm_source=hyro_web
b4fe5d55-f8f2-4a72-ac4b-cf7980135f9e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,{'url': 'https://www.urmc.rochester.edu/urm-labs.aspx?utm_source=hyro_web'},670aa82d14519701d616aa1c,2024-10-12 19:47:41.762,URL_TAG_CLICK,https://www.urmc.rochester.edu/urm-labs.aspx?utm_source=hyro_web
3ac6e972-ac94-4f8c-8062-e91ad86fa2b8,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19,{'url': 'https://www.urmc.rochester.edu/patients-families/bill-pay.aspx?utm_source=hyro_web'},670aab448529bdd288971fd9,2024-10-12 20:00:52.123,URL_TAG_CLICK,https://www.urmc.rochester.edu/patients-families/bill-pay.aspx?utm_source=hyro_web
