CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,action,displayText
5a22a000-374f-441b-a862-7869012050e7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,64,"{'action': '(585) 768-2620', 'displayText': 'Call'}",6701207c55f202ce262b56c2,2024-10-05 14:18:20.880,CTA_CLICK,(585) 768-2620,Call
e3983175-2001-4274-8f7d-5786029e4c7c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,"{'action': 'https://www.urmc.rochester.edu/people/23579347-lindsay-ann-marchetti?utm_source=hyro_web', 'displayText': 'Visit page'}",6700871fce37c37834b0342b,2024-10-05 03:23:59.173,CTA_CLICK,https://www.urmc.rochester.edu/people/23579347-lindsay-ann-marchetti?utm_source=hyro_web,Visit page
e3983175-2001-4274-8f7d-5786029e4c7c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,71,"{'action': 'https://www.urmc.rochester.edu/people/23579347-lindsay-ann-marchetti?utm_source=hyro_web', 'displayText': 'Visit page'}",6700881055f202ce26279da1,2024-10-05 03:28:00.725,CTA_CLICK,https://www.urmc.rochester.edu/people/23579347-lindsay-ann-marchetti?utm_source=hyro_web,Visit page
e7a2695b-370a-44f2-b1d9-be3c7347dfd6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,"{'action': 'https://www.urmc.rochester.edu/people/31636636-sandy-wang?utm_source=hyro_web', 'displayText': 'Visit page'}",670acae08529bdd2889893a4,2024-10-12 22:15:44.393,CTA_CLICK,https://www.urmc.rochester.edu/people/31636636-sandy-wang?utm_source=hyro_web,Visit page
0c00fc46-a0de-4e48-9a2a-5177b1f8e35d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,"{'action': 'https://www.urmc.rochester.edu/people/27312018-anita-ray?utm_source=hyro_web', 'displayText': 'Visit page'}",670a7d9b8529bdd28894da09,2024-10-12 16:46:03.099,CTA_CLICK,https://www.urmc.rochester.edu/people/27312018-anita-ray?utm_source=hyro_web,Visit page
7e44e31a-97b6-4cb6-9e98-8a820999c7a7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,29,"{'action': '(585) 275-5321', 'displayText': 'Call'}",670aa97a14519701d616b9b9,2024-10-12 19:53:14.031,CTA_CLICK,(585) 275-5321,Call
a301ae56-8ed3-4a52-8476-e78bc6314526,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,56,"{'action': 'https://www.urmc.rochester.edu/people/32668070-dina-amin?utm_source=hyro_web', 'displayText': 'Visit page'}",670ab2898529bdd2889779b4,2024-10-12 20:31:53.316,CTA_CLICK,https://www.urmc.rochester.edu/people/32668070-dina-amin?utm_source=hyro_web,Visit page
67dcbb73-83f4-46af-898f-414493e39771,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,"{'action': '(585) 279-4800', 'displayText': 'Call'}",670ec2c5c6d56ea441603eb9,2024-10-15 22:30:13.276,CTA_CLICK,(585) 279-4800,Call
fc824e5c-75f6-4c68-8790-c33c5e2e15c3,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,130,"{'action': '(585) 276-3000', 'displayText': 'Call'}",670bce298529bdd2889fb217,2024-10-13 16:42:01.116,CTA_CLICK,(585) 276-3000,Call
a31c9d62-d413-4653-a8c9-4983fb4e4623,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,31,"{'action': 'https://www.urmc.rochester.edu/people/20805456-daniel-l-zerbe?utm_source=hyro_web', 'displayText': 'Visit page'}",67070008f480fd5383af51ca,2024-10-10 01:13:28.893,CTA_CLICK,https://www.urmc.rochester.edu/people/20805456-daniel-l-zerbe?utm_source=hyro_web,Visit page
a31c9d62-d413-4653-a8c9-4983fb4e4623,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,63,"{'action': '(315) 589-4641', 'displayText': 'Call'}",67070038f480fd5383af5409,2024-10-10 01:14:16.477,CTA_CLICK,(315) 589-4641,Call
a31c9d62-d413-4653-a8c9-4983fb4e4623,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,66,"{'action': 'https://www.urmc.rochester.edu/people/31722384-karen-m-baker?utm_source=hyro_web', 'displayText': 'Visit page'}",6707004ff480fd5383af554b,2024-10-10 01:14:39.711,CTA_CLICK,https://www.urmc.rochester.edu/people/31722384-karen-m-baker?utm_source=hyro_web,Visit page
d7a8dbee-717f-4822-b5ed-a4cfecbf47ac,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,"{'action': '(585) 275-2838', 'displayText': 'Call'}",670684957673c82f42733345,2024-10-09 16:26:45.941,CTA_CLICK,(585) 275-2838,Call
70d3afc0-0b17-4982-aab5-fca8e7e0d765,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,84,"{'action': 'https://www.urmc.rochester.edu/people/31636636-sandy-wang?utm_source=hyro_web', 'displayText': 'Visit page'}",6706b39b7673c82f42763769,2024-10-09 19:47:23.332,CTA_CLICK,https://www.urmc.rochester.edu/people/31636636-sandy-wang?utm_source=hyro_web,Visit page
85f98d08-5e0e-4e62-8617-d210db4e838a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,79,"{'action': 'https://www.urmc.rochester.edu/people/31237789-mariah-p-burkhard?utm_source=hyro_web', 'displayText': 'Visit page'}",6705f39114519701d6e693fe,2024-10-09 06:08:01.641,CTA_CLICK,https://www.urmc.rochester.edu/people/31237789-mariah-p-burkhard?utm_source=hyro_web,Visit page
fee939f6-640f-4f2b-a37e-70adf06de7af,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,"{'action': 'https://www.urmc.rochester.edu/people/32668070-dina-amin?utm_source=hyro_web', 'displayText': 'Visit page'}",6706061c7673c82f426f7c12,2024-10-09 07:27:08.711,CTA_CLICK,https://www.urmc.rochester.edu/people/32668070-dina-amin?utm_source=hyro_web,Visit page
9d91ed9a-d8ed-4af4-b64a-440933200610,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,53,"{'action': 'https://www.urmc.rochester.edu/people/31514781-jennifer-l-wetherby?utm_source=hyro_web', 'displayText': 'Visit page'}",670044a655f202ce26243272,2024-10-04 22:40:22.299,CTA_CLICK,https://www.urmc.rochester.edu/people/31514781-jennifer-l-wetherby?utm_source=hyro_web,Visit page
40f97dd6-340d-4521-9148-ce977c2f719a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,34,"{'action': '(585) 758-5700', 'displayText': 'Call'}",67002b5dfd4c301deb1c8196,2024-10-04 20:52:29.530,CTA_CLICK,(585) 758-5700,Call
686b9bd5-9416-45ce-a204-97fefd17cec6,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,58,"{'action': '(585) 273-3833', 'displayText': 'Call'}",67001b05fd4c301deb1ba7de,2024-10-04 19:42:45.836,CTA_CLICK,(585) 273-3833,Call
