CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,constraints,nluEngineVersion,requestLatency,resultCount,type
6bbd6279-e3e8-4292-ad47-bc245df28c29,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,39,"{'constraints': [{'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'psychiatry', 'nodeTypes': ['salient term', 'specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 960, 'resultCount': 177, 'type': 'provider'}",670eaa5ac6d56ea4415ee23c,2024-10-15 20:46:02.273,SEARCH_PERFORMED,"[{'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'psychiatry', 'nodeTypes': ['salient term', 'specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,960,177,provider
68a241c5-37a8-4504-a943-6b82581cd270,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,42,"{'constraints': [{'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'urology', 'nodeTypes': ['specialty', 'subspecialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}], 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 3782, 'resultCount': 57, 'type': 'provider'}",670e61be8529bdd288ba76da,2024-10-15 15:36:14.013,SEARCH_PERFORMED,"[{'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'urology', 'nodeTypes': ['specialty', 'subspecialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}]",0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,3782,57,provider
f2470b5f-8420-4ae5-bdf6-fcfeb3e83c0e,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16,"{'constraints': [{'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'Orthopaedics & Physical Performance', 'nodeTypes': ['salient term', 'information page', 'specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1830, 'resultCount': 159, 'type': 'provider'}",670e50208529bdd288b987c9,2024-10-15 14:21:04.109,SEARCH_PERFORMED,"[{'obj': [{'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'Orthopaedics & Physical Performance', 'nodeTypes': ['salient term', 'information page', 'specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'd5620631b462a65a6da62df3a61a514c16690dc9', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,1830,159,provider
148808d9-7009-4a1c-9fc9-716c8072fda9,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,26,"{'constraints': [{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 601, 'resultCount': 409, 'type': 'provider'}",6701a0a5ce37c37834baa1c1,2024-10-05 23:25:09.273,SEARCH_PERFORMED,"[{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,601,409,provider
99885e3a-c5f3-4462-a38a-488938ca4747,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'constraints': [{'obj': [{'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 462, 'resultCount': 408, 'type': 'provider'}",67008b09ce37c37834b07288,2024-10-05 03:40:41.195,SEARCH_PERFORMED,"[{'obj': [{'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,462,408,provider
5a22a000-374f-441b-a862-7869012050e7,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,"{'constraints': [{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 734, 'resultCount': 409, 'type': 'provider'}",67011fb5ce37c37834b4793e,2024-10-05 14:15:01.082,SEARCH_PERFORMED,"[{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,734,409,provider
5a33ab5b-2ef4-49c1-9636-c4107480d5d5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,27,"{'constraints': [{'obj': [{'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803', 'requestLatency': 492, 'resultCount': 408, 'type': 'provider'}",67008f81ce37c37834b0b143,2024-10-05 03:59:45.484,SEARCH_PERFORMED,"[{'obj': [{'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': '450d7a66b72d7d2297bae22d431d9aa93c5e53cd', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-480f4182e6c89e0232888471a5937803,492,408,provider
ee351325-86a5-4d28-b48d-6b1d47e2939f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,"{'constraints': [{'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'gastrointestinal', 'nodeTypes': ['interest']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1272, 'resultCount': 27, 'type': 'provider'}",6701c496ce37c37834bc4107,2024-10-06 01:58:30.084,SEARCH_PERFORMED,"[{'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'gastrointestinal', 'nodeTypes': ['interest']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,1272,27,provider
ee351325-86a5-4d28-b48d-6b1d47e2939f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,59,"{'constraints': [{'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'gastrointestinal', 'nodeTypes': ['interest']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 383, 'resultCount': 27, 'type': 'provider'}",6701c4a9ce37c37834bc41d5,2024-10-06 01:58:49.659,SEARCH_PERFORMED,"[{'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'gastrointestinal', 'nodeTypes': ['interest']}], 'relation': 'Has', 'subject': {'name': 'A'}}, {'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,383,27,provider
62e79c6c-00d8-499b-8305-5565847399ba,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,"{'constraints': [{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}], 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 884, 'resultCount': 409, 'type': 'provider'}",6701041fce37c37834b3fe4e,2024-10-05 12:17:19.220,SEARCH_PERFORMED,"[{'obj': {'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'provider'}, 'relation': 'Is', 'subject': {'name': 'A'}}, {'obj': [{'graphId': 'ed51c091992f15ee3437d570f957462f15e8d665', 'nodeId': 'family medicine', 'nodeTypes': ['specialty']}], 'relation': 'Has', 'subject': {'name': 'A'}}]",65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,884,409,provider
