@utterance,ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,arrivedWhileProcessingPreviousUtterance,arrivedWhileSpeaking,cloudRecordingId,data,eventData,eventId,provider,speechDuration,sttConfidence,timestamp,typeOfEvent,utterance,utteranceType
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6bbd6279-e3e8-4292-ad47-bc245df28c29,24,,,,,"{'utterance': 'Find a provider', 'utteranceType': 'suggestion'}",670eaa54c6d56ea4415ee205,,,,2024-10-15 20:45:56.781,USER_UTTERANCE,Find a provider,suggestion
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6bbd6279-e3e8-4292-ad47-bc245df28c29,33,,,,,"{'utterance': 'Psychiatry', 'utteranceType': 'suggestion'}",670eaa59c6d56ea4415ee231,,,,2024-10-15 20:46:01.285,USER_UTTERANCE,Psychiatry,suggestion
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68a241c5-37a8-4504-a943-6b82581cd270,26,,,,,"{'utterance': 'careers', 'utteranceType': 'text'}",670e61a08529bdd288ba74f3,,,,2024-10-15 15:35:43.940,USER_UTTERANCE,careers,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,68a241c5-37a8-4504-a943-6b82581cd270,34,,,,,"{'utterance': 'where do I apply for the lpn positions for the urology department', 'utteranceType': 'text'}",670e61ba8529bdd288ba76a7,,,,2024-10-15 15:36:10.216,USER_UTTERANCE,where do I apply for the lpn positions for the urology department,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,df0f492e-a33b-41c5-84a5-9fd87908058c,17,,,,,"{'utterance': 'Medical records', 'utteranceType': 'text'}",670ec2c04031c12e658e264c,,,,2024-10-15 22:30:08.048,USER_UTTERANCE,Medical records,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,eb155351-4749-4856-89cd-95615a9b0632,11,,,,,"{'utterance': 'How do I request to be removed from mailing list', 'utteranceType': 'text'}",670e675714519701d63a0047,,,,2024-10-15 16:00:07.608,USER_UTTERANCE,How do I request to be removed from mailing list,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,eb155351-4749-4856-89cd-95615a9b0632,18,,,,,"{'utterance': 'Remove name from marketing materials ', 'utteranceType': 'text'}",670e676b14519701d63a015c,,,,2024-10-15 16:00:27.417,USER_UTTERANCE,Remove name from marketing materials ,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,eb155351-4749-4856-89cd-95615a9b0632,42,,,,,"{'utterance': 'Email address', 'utteranceType': 'text'}",670e67f214519701d63a085d,,,,2024-10-15 16:02:42.311,USER_UTTERANCE,Email address,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,f2470b5f-8420-4ae5-bdf6-fcfeb3e83c0e,10,,,,,"{'utterance': 'Orthopedics', 'utteranceType': 'text'}",670e501e8529bdd288b987bd,,,,2024-10-15 14:21:02.263,USER_UTTERANCE,Orthopedics,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,99948aca-1642-443f-861f-db6681cb9372,16,,,,,"{'utterance': 'What is the email for the pediatric residency program director?', 'utteranceType': 'text'}",670143cf55f202ce262c9109,,,,2024-10-05 16:49:03.684,USER_UTTERANCE,What is the email for the pediatric residency program director?,text
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,148808d9-7009-4a1c-9fc9-716c8072fda9,12,,,,,"{'utterance': 'Find a provider', 'utteranceType': 'suggestion'}",6701a098ce37c37834baa129,,,,2024-10-05 23:24:56.611,USER_UTTERANCE,Find a provider,suggestion
,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,148808d9-7009-4a1c-9fc9-716c8072fda9,20,,,,,"{'utterance': 'Family medicine', 'utteranceType': 'suggestion'}",6701a0a4ce37c37834baa1ba,,,,2024-10-05 23:25:08.644,USER_UTTERANCE,Family medicine,suggestion
